id_legacy,nombre,categoria,familia,subfamilia,unidad,stock_legacy,minimo,proveedor
inv_bdn3_off_98,1865 CARMENERE,VINOS Y ESPUMANTES,CCU,Sin subfamilia,unidad,12,6,CCU
inv_1776796675368,ACEITE DE ALTA FRITURA,Abarrotes,DSC. SPA,Sin subfamilia,L,60,20,MAR AZUL
inv_bdn3_off_222,ACEITE DE OLIVA,Abarrotes,Patagonia Fruit Spa,Sin subfamilia,lt,18,10,Patagonia Fruit Spa
inv_bdn3_off_145,ACEITE MARAVILLA,Abarrotes,ICB,Sin subfamilia,LT,0,12,ICB
inv_bdn3_off_176,ACEITUNAS,Frutas y Verduras,LA CHACRA,Sin subfamilia,kg,1,1,LA CHACRA
inv_bdn3_off_368,ACEITUNAS VERDES (BAR),Frutas y Verduras,SUPERMERCADO,Sin subfamilia,unidad,0,1,"FRUTAS, VERDURAS Y HIERBAS"
inv_bdn3_off_72,AGUA BIDON SIN GAS 6 LT,Aguas y Bebidas,CCU,Sin subfamilia,unidad,43,4,CCU
inv_bdn3_off_70,AGUA MINERAL CON GAS,Aguas y Bebidas,CCU,Sin subfamilia,unidad,40,5,CCU
inv_bdn3_off_71,AGUA MINERAL SIN GAS,Aguas y Bebidas,CCU,Sin subfamilia,unidad,112,5,CCU
inv_bdn3_off_224,AGUA PURIFICADA BIDON 20 LT,Aguas y Bebidas,PATAGONIA ICE,Sin subfamilia,unidad,7,5,PATAGONIA ICE
inv_1776917246063,AJI CACHO CABRA,Abarrotes,EL TRIGAL,Sin subfamilia,kg,0,1,EL TRIGAL
inv_bdn3_off_339,AJI COLOR,Abarrotes,EL TRIGAL,Sin subfamilia,unidad,0.5,1,"ABARROTES, CONDIMENTOS, ESPECIAS Y SALSAS"
inv_bdn3_off_177,AJI VERDE,Frutas y Verduras,LA CHACRA,Sin subfamilia,unidad,3,1,LA CHACRA
inv_bdn3_off_178,AJO,Frutas y Verduras,LA CHACRA,Sin subfamilia,unidad,20,20,LA CHACRA
inv_bdn3_off_0,ALBACORA,Pescados y Mariscos,MARISCOS Y PESCADOS,Sin subfamilia,kg,0,,
inv_bdn3_off_179,ALBAHACA,Frutas y Verduras,LA CHACRA,Sin subfamilia,unidad,13,2,LA CHACRA
inv_bdn3_off_257,ALBUMINA,Abarrotes,VINOTECA,Sin subfamilia,kg,3,2,VINOTECA
inv_bdn3_off_147,ALCAPARRAS,Abarrotes,ICB,Sin subfamilia,unidad,0,2,ICB
inv_bdn3_off_248,ALCOHOL,Aseo,VIRGINIA,Sin subfamilia,lt,2,5,VIRGINIA
inv_bdn3_off_50,ALCOHOL GEL,Aseo,ASEO TORRES,Sin subfamilia,lt,0,5,ASEO TORRES
inv_bdn3_off_1,ALMEJAS,Pescados y Mariscos,AGROMAR,Sin subfamilia,kg,17,10,
