sku,nombre,categoria,unidad,tipo,costo_promedio,stock_min,requiere_lote,activo
1865-CARMENERE-DN3OFF98,1865 CARMENERE,VINOS Y ESPUMANTES,UN,INSUMO,0,6,NO,SI
ACEITE-DE-ALTA-FRITURA-96675368,ACEITE DE ALTA FRITURA,Abarrotes,L,INSUMO,0,20,NO,SI
ACEITE-DE-OLIVA-N3OFF222,ACEITE DE OLIVA,Abarrotes,L,INSUMO,0,10,NO,SI
ACEITE-MARAVILLA-N3OFF145,ACEITE MARAVILLA,Abarrotes,L,INSUMO,0,12,NO,SI
ACEITUNAS-N3OFF176,ACEITUNAS,Frutas y Verduras,KG,INSUMO,0,1,NO,SI
ACEITUNAS-VERDES-BAR-N3OFF368,ACEITUNAS VERDES (BAR),Frutas y Verduras,UN,INSUMO,0,1,NO,SI
AGUA-BIDON-SIN-GAS-6-LT-DN3OFF72,AGUA BIDON SIN GAS 6 LT,Aguas y Bebidas,UN,INSUMO,0,4,NO,SI
AGUA-MINERAL-CON-GAS-DN3OFF70,AGUA MINERAL CON GAS,Aguas y Bebidas,UN,INSUMO,0,5,NO,SI
AGUA-MINERAL-SIN-GAS-DN3OFF71,AGUA MINERAL SIN GAS,Aguas y Bebidas,UN,INSUMO,0,5,NO,SI
AGUA-PURIFICADA-BIDON-20-N3OFF224,AGUA PURIFICADA BIDON 20 LT,Aguas y Bebidas,UN,INSUMO,0,5,NO,SI
AJI-CACHO-CABRA-17246063,AJI CACHO CABRA,Abarrotes,KG,INSUMO,0,1,NO,SI
AJI-COLOR-N3OFF339,AJI COLOR,Abarrotes,UN,INSUMO,0,1,NO,SI
AJI-VERDE-N3OFF177,AJI VERDE,Frutas y Verduras,UN,INSUMO,0,1,NO,SI
AJO-N3OFF178,AJO,Frutas y Verduras,UN,INSUMO,0,20,NO,SI
ALBACORA-BDN3OFF0,ALBACORA,Pescados y Mariscos,KG,INSUMO,0,0,SI,SI
ALBAHACA-N3OFF179,ALBAHACA,Frutas y Verduras,UN,INSUMO,0,2,NO,SI
ALBUMINA-N3OFF257,ALBUMINA,Abarrotes,KG,INSUMO,0,2,NO,SI
ALCAPARRAS-N3OFF147,ALCAPARRAS,Abarrotes,UN,INSUMO,0,2,NO,SI
ALCOHOL-N3OFF248,ALCOHOL,Aseo,L,NO_ALIMENTARIO,0,5,NO,SI
ALCOHOL-GEL-DN3OFF50,ALCOHOL GEL,Aseo,L,NO_ALIMENTARIO,0,5,NO,SI
ALMEJAS-BDN3OFF1,ALMEJAS,Pescados y Mariscos,KG,INSUMO,0,10,SI,SI
ALMENDRAS-LAMINADAS-O-EN-N3OFF180,ALMENDRAS LAMINADAS O ENTERAS,Abarrotes,KG,INSUMO,0,1,NO,SI
ALUSA-PLAST-N3OFF123,ALUSA PLAST,Aseo,UN,NO_ALIMENTARIO,0,1,NO,SI
AMARETTO-CASA-N3OFF117,AMARETTO CASA,DESTILADOS Y LICORES,UN,INSUMO,0,10,NO,SI
AMARETTO-DISARONNO-N3OFF260,AMARETTO DISARONNO,DESTILADOS Y LICORES,UN,INSUMO,0,4,NO,SI
AMARGO-ANGOSTURA-N3OFF258,AMARGO ANGOSTURA,Abarrotes,UN,INSUMO,0,1,NO,SI
AMONIO-CUATERNARIO-DN3OFF51,AMONIO CUATERNARIO,Aseo,L,NO_ALIMENTARIO,0,5,NO,SI
APALTAGUA-CARMENERE-N3OFF305,APALTAGUA CARMENERE,VINOS Y ESPUMANTES,UN,INSUMO,0,1,NO,SI
APEROL-N3OFF259,APEROL,DESTILADOS Y LICORES,UN,INSUMO,0,6,NO,SI
APIO-N3OFF181,APIO,Frutas y Verduras,UN,INSUMO,0,1,NO,SI
ARANDANOS-N3OFF182,ARÁNDANOS,Frutas y Verduras,KG,INSUMO,0,1,NO,SI
ARAUCANO-N3OFF261,ARAUCANO,DESTILADOS Y LICORES,UN,INSUMO,0,1,NO,SI
AROMATIZANTE-LIQUIDO-38612581,AROMATIZANTE LIQUIDO,Aseo,L,NO_ALIMENTARIO,0,0,NO,SI
ARROZ-ARBORIO-N3OFF148,ARROZ ARBORIO,Abarrotes,KG,INSUMO,0,4,NO,SI
ARROZ-BASMATI-N3OFF340,ARROZ BASMATI,Abarrotes,KG,INSUMO,0,2,NO,SI
ARROZ-G1-N3OFF149,ARROZ G1,Abarrotes,KG,INSUMO,0,10,NO,SI
ARVEJAS-CONGELADAS-N3OFF150,ARVEJAS CONGELADAS,CONGELADOS,KG,INSUMO,0,2,NO,SI
AUSTRAL-CALAFATE-DN3OFF85,AUSTRAL CALAFATE,BEBIDAS ALCOHOLICAS,UN,INSUMO,0,1,NO,SI
AUSTRAL-LAGER-DN3OFF86,AUSTRAL LAGER,BEBIDAS ALCOHOLICAS,UN,INSUMO,0,1,NO,SI
AZUCAR-FLOR-N3OFF152,AZÚCAR FLOR,Abarrotes,KG,INSUMO,0,2,NO,SI
AZUCAR-GRANULADA-N3OFF151,AZÚCAR GRANULADA,Abarrotes,KG,INSUMO,0,10,NO,SI
AZUCAR-RUBIA-N3OFF153,AZÚCAR RUBIA,Abarrotes,KG,INSUMO,0,2,NO,SI
AZUCAR-SACHET-N3OFF341,AZÚCAR SACHET,Abarrotes,UN,INSUMO,0,100,NO,SI
BAILEYS-N3OFF262,BAILEYS,DESTILADOS Y LICORES,UN,INSUMO,0,1,NO,SI
BERROS-N3OFF183,BERROS,Frutas y Verduras,UN,INSUMO,0,2,NO,SI
BILZ-DN3OFF73,BILZ,Aguas y Bebidas,UN,INSUMO,0,4,NO,SI
BIOETANOL-N3OFF122,BIOETANOL,Aseo,L,NO_ALIMENTARIO,0,5,NO,SI
BITTER-ROSARD-CLASICO-N3OFF118,BITTER ROSARD CLASICO,DESTILADOS Y LICORES,UN,INSUMO,0,10,NO,SI
BOLSA-ASEO-50X70-DN3OFF52,BOLSA ASEO 50X70,Aseo,UN,NO_ALIMENTARIO,0,10,NO,SI
BOLSA-ASEO-90X120-DN3OFF54,BOLSA ASEO 90X120,Aseo,UN,NO_ALIMENTARIO,0,10,NO,SI
BOLSA-PREPICADO-20X30-DN3OFF55,BOLSA PREPICADO 20X30,Aseo,UN,NO_ALIMENTARIO,0,1,NO,SI
BOLSA-PREPICADO-35X50-DN3OFF56,BOLSA PREPICADO 35X50,Aseo,UN,NO_ALIMENTARIO,0,1,NO,SI
BOLSAS-PARA-LLEVAR-N3OFF326,BOLSAS PARA LLEVAR,Aseo,UN,NO_ALIMENTARIO,0,50,NO,SI
BOMBILLAS-N3OFF124,BOMBILLAS,Aseo,CAJA,NO_ALIMENTARIO,0,1,NO,SI
BRIOMIL-DESENGRASANTE-N3OFF249,BRIOMIL DESENGRASANTE,Aseo,L,NO_ALIMENTARIO,0,5,NO,SI
BROCOLI-50394674,BRÓCOLI,Frutas y Verduras,UN,INSUMO,0,1,NO,SI
BROTES-N3OFF369,BROTES,Frutas y Verduras,UN,INSUMO,0,9,NO,SI
BULGUR-N3OFF370,BULGUR,Abarrotes,UN,INSUMO,0,1,NO,SI
C10-N3OFF327,C10,Aseo,UN,NO_ALIMENTARIO,0,4,NO,SI
C20-N3OFF328,C20,Aseo,UN,NO_ALIMENTARIO,0,4,NO,SI
CACAO-EN-POLVO-77332463,CACAO EN POLVO,Abarrotes,KG,INSUMO,0,0,NO,SI
CACHAZA-N3OFF263,CACHAZA,DESTILADOS Y LICORES,UN,INSUMO,0,2,NO,SI
CAFE-EN-SACHET-N3OFF154,CAFÉ EN SACHET,Abarrotes,UN,INSUMO,0,90,NO,SI
CAFE-GRANO-N3OFF245,CAFÉ GRANO,Abarrotes,KG,INSUMO,0,1,NO,SI
CAFE-PERSONAL-N3OFF332,CAFÉ PERSONAL,Abarrotes,UN,INSUMO,0,2,NO,SI
CALAMAR-BDN3OFF2,CALAMAR,Pescados y Mariscos,KG,INSUMO,0,10,SI,SI
CALDOSO-Y-SOPA-MARINA-BDN3OFF3,CALDOSO Y SOPA MARINA,Pescados y Mariscos,UN,INSUMO,0,20,SI,SI
CAMARON-EC-UATORIANO-POR-BDN3OFF5,CAMARÓN EC.. UATORIANO PORCIONADO,Pescados y Mariscos,UN,INSUMO,0,10,SI,SI
CAMARON-EC-UATORIANO-KIL-BDN3OFF4,CAMARÓN EC.... UATORIANO KILO,Pescados y Mariscos,KG,INSUMO,0,10,SI,SI
CAMARON-NACIONAL-KILO-BDN3OFF6,CAMARÓN NACIONAL KILO,Pescados y Mariscos,KG,INSUMO,0,10,SI,SI
CAMARON-NACIONAL-PORCION-BDN3OFF7,CAMARÓN NACIONAL PORCIÓN,Pescados y Mariscos,UN,INSUMO,0,10,SI,SI
CAMPARI-N3OFF264,CAMPARI,DESTILADOS Y LICORES,UN,INSUMO,0,1,NO,SI
CANADA-DRY-DN3OFF74,CANADA DRY,Aguas y Bebidas,UN,INSUMO,0,4,NO,SI
CANADA-DRY-CERO-DN3OFF75,CANADA DRY CERO,Aguas y Bebidas,UN,INSUMO,0,4,NO,SI
CANELA-MOLIDA-N3OFF343,CANELA MOLIDA,Abarrotes,UN,INSUMO,0,1,NO,SI
CANELA-PALO-N3OFF344,CANELA PALO,Abarrotes,UN,INSUMO,0,1,NO,SI
CARNE-DE-CENTOLLA-BDN3OFF8,CARNE DE CENTOLLA,Pescados y Mariscos,KG,INSUMO,0,2,SI,SI
