sku,nombre,proveedor_legacy,id_legacy
1865-CARMENERE-DN3OFF98,1865 CARMENERE,CCU,inv_bdn3_off_98
ACEITE-DE-ALTA-FRITURA-96675368,ACEITE DE ALTA FRITURA,MAR AZUL,inv_1776796675368
ACEITE-DE-OLIVA-N3OFF222,ACEITE DE OLIVA,Patagonia Fruit Spa,inv_bdn3_off_222
ACEITE-MARAVILLA-N3OFF145,ACEITE MARAVILLA,ICB,inv_bdn3_off_145
ACEITUNAS-N3OFF176,ACEITUNAS,LA CHACRA,inv_bdn3_off_176
ACEITUNAS-VERDES-BAR-N3OFF368,ACEITUNAS VERDES (BAR),"FRUTAS, VERDURAS Y HIERBAS",inv_bdn3_off_368
AGUA-BIDON-SIN-GAS-6-LT-DN3OFF72,AGUA BIDON SIN GAS 6 LT,CCU,inv_bdn3_off_72
AGUA-MINERAL-CON-GAS-DN3OFF70,AGUA MINERAL CON GAS,CCU,inv_bdn3_off_70
AGUA-MINERAL-SIN-GAS-DN3OFF71,AGUA MINERAL SIN GAS,CCU,inv_bdn3_off_71
AGUA-PURIFICADA-BIDON-20-N3OFF224,AGUA PURIFICADA BIDON 20 LT,PATAGONIA ICE,inv_bdn3_off_224
AJI-CACHO-CABRA-17246063,AJI CACHO CABRA,EL TRIGAL,inv_1776917246063
AJI-COLOR-N3OFF339,AJI COLOR,"ABARROTES, CONDIMENTOS, ESPECIAS Y SALSAS",inv_bdn3_off_339
AJI-VERDE-N3OFF177,AJI VERDE,LA CHACRA,inv_bdn3_off_177
AJO-N3OFF178,AJO,LA CHACRA,inv_bdn3_off_178
ALBACORA-BDN3OFF0,ALBACORA,,inv_bdn3_off_0
ALBAHACA-N3OFF179,ALBAHACA,LA CHACRA,inv_bdn3_off_179
ALBUMINA-N3OFF257,ALBUMINA,VINOTECA,inv_bdn3_off_257
ALCAPARRAS-N3OFF147,ALCAPARRAS,ICB,inv_bdn3_off_147
ALCOHOL-N3OFF248,ALCOHOL,VIRGINIA,inv_bdn3_off_248
ALCOHOL-GEL-DN3OFF50,ALCOHOL GEL,ASEO TORRES,inv_bdn3_off_50
ALMEJAS-BDN3OFF1,ALMEJAS,,inv_bdn3_off_1
ALMENDRAS-LAMINADAS-O-EN-N3OFF180,ALMENDRAS LAMINADAS O ENTERAS,LA CHACRA,inv_bdn3_off_180
ALUSA-PLAST-N3OFF123,ALUSA PLAST,ENVASES EUROPACK,inv_bdn3_off_123
AMARETTO-CASA-N3OFF117,AMARETTO CASA,DON CARLOS SAAVEDRA,inv_bdn3_off_117
AMARETTO-DISARONNO-N3OFF260,AMARETTO DISARONNO,VINOTECA,inv_bdn3_off_260
AMARGO-ANGOSTURA-N3OFF258,AMARGO ANGOSTURA,VINOTECA,inv_bdn3_off_258
AMONIO-CUATERNARIO-DN3OFF51,AMONIO CUATERNARIO,ASEO TORRES,inv_bdn3_off_51
